"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblCompTracks","UID","1","int","NO"
"tmdsDatabaseStatic","dbo","tblCompTracks","ControlPoint","2","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","Name","3","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","Type","4","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LX","5","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LY","6","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RX","7","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RY","8","smallint","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LeftLink","9","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RightLink","10","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LeftAltLink","11","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RightAltLink","12","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","AltLinkOne","13","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","AltLinkTwo","14","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","Codeline","15","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","PIND","16","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","PCTL","17","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","SIND","18","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","SCTL","19","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","TIND","20","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","TCTL","21","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LeftLimitRange","22","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RightLimitRange","23","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LeftLimitMPRange","24","float","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RightLimitMPRange","25","float","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","AuthorityType","26","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","TrkName","27","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","LeftLimitName","28","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","RightLimitName","29","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","TerritoryAssignment","30","int","YES"
"tmdsDatabaseStatic","dbo","tblCompTracks","Subdivision","31","int","YES"
