"component_family","component_uid","parent_control_point_uid","component_name","component_secondary_name","component_detail_name","component_codeline","territory_assignment","subdivision"
"control_point","100000","100000","CARL","NULL","CP Carl","5","100","2"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","100","2"
"control_point","100002","100002","DON","NULL","CP Don","5","100","2"
"control_point","100003","100003","PULGAS","NULL","CP Pulgas","5","100","2"
"control_point","100004","100004","CUDAHY","NULL","CP Cudahy","5","100","2"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","100","2"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","100","2"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","100","2"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","100","2"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","100","2"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","100","2"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","100","2"
"control_point","100012","100012","SHELL","NULL","CP Shell","5","100","2"
"control_point","100013","100013","ESCONDIDO JCT","NULL","CP Escondido Jct","5","100","2"
"control_point","100015","100015","SCRIPPS","NULL","CP Scripps","5","100","2"
"control_point","100016","100016","LONGBOARD","NULL","CP Longboard","5","100","2"
"control_point","100017","100017","FARR","NULL","CP Farr","5","100","2"
"control_point","100018","100018","PONTO","NULL","CP Ponto","5","100","2"
"control_point","100019","100019","SWAMI","NULL","CP Swami","5","100","2"
"control_point","100020","100020","CARDIFF","NULL","CP Cardiff","5","100","2"
"control_point","100022","100022","VALLEY","NULL","CP Valley","5","100","2"
"control_point","100023","100023","CROSBY","NULL","CP Crosby","5","100","2"
"control_point","100024","100024","DEL MAR","NULL","CP Del Mar","5","100","2"
"control_point","100025","100025","TORREY","NULL","CP Torrey","5","100","2"
"control_point","100027","100027","MIRAMAR","NULL","CP Miramar","5","100","2"
"control_point","100033","100033","ASH","NULL","CP Ash","5","100","2"
"control_point","100035","100035","CONVAIR","NULL","CP Convair","5","100","2"
"control_point","200000","200000","OCEAN","NULL","","6","200","1"
"control_point","200002","200002","RAILROAD","NULL","","7","200","1"
"control_point","200003","200003","TRUE","NULL","","10","200","1"
"control_point","200004","200004","WYE","NULL","","8","200","1"
"control_point","200005","200005","CROUCH","NULL","","9","200","1"
"control_point","200006","200006","RANCHO","NULL","","12","200","1"
"control_point","200007","200007","SCHOOL","NULL","","13","200","1"
"control_point","200008","200008","EL CAMINO","NULL","","11","200","1"
"control_point","200009","200009","MELROSE","NULL","","14","200","1"
"control_point","200010","200010","ANGEL","NULL","","15","200","1"
"control_point","200011","200011","VISTA","NULL","","16","200","1"
"control_point","200012","200012","CIVIC CTR VISTA","NULL","","17","200","1"
"control_point","200013","200013","AVENUE","NULL","","18","200","1"
"control_point","200014","200014","BUENA CREEK","NULL","","19","200","1"
"control_point","200015","200015","PALOMAR","NULL","","21","200","1"
"control_point","200016","200016","MISSY","NULL","","20","200","1"
"control_point","200017","200017","LOOP WEST","NULL","","22","200","1"
"control_point","200019","200019","LOOP EAST","NULL","","24","200","1"
"control_point","200020","200020","SHELLY","NULL","","23","200","1"
"control_point","200025","200025","NORDAHL","NULL","","25","200","1"
"control_point","200026","200026","HOLDOUT","NULL","","26","200","1"
"control_point","200027","200027","YARD","NULL","","27","200","1"
"control_point","200028","200028","AVO","NULL","","28","200","1"
"misc_device","100992","100001","SUPERVISORY CONTROL","ArrowRight","ERQK;-16711936","5","100","2"
"misc_device","100358","100008","2W CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100361","100008","TPOK","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100270","100011","E CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100273","100013","2W CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100290","100013","4W CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100292","100013","6W CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100894","100013","WBRQK","ArrowLeft","WBRQK;-16711936","5","100","2"
"misc_device","100895","100013","EBRLK","ArrowRight","EBRLK;-16711936","5","100","2"
"misc_device","100359","100033","2 E CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","100360","100033","4 E CALL-ON","IndicateOnly","NONE;-1","5","100","2"
"misc_device","200904","200000","997pok","IndicateOnly","NONE;-1","6","200","1"
"misc_device","200905","200000","997dok","IndicateOnly","NONE;-1","6","200","1"
"misc_device","200906","200000","995pok","IndicateOnly","NONE;-1","6","200","1"
"misc_device","200907","200000","995dok","IndicateOnly","NONE;-1","6","200","1"
"misc_device","200909","200000","995LOK","IndicateOnly","NONE;-1","6","200","1"
"misc_device","200976","200002","EAST TRAFFIC","ArrowRight","NONE;-1","7","200","1"
"misc_device","200978","200002","WEST TRAFFIC","ArrowLeft","NONE;-1","7","200","1"
"misc_device","200931","200003","1020POK","IndicateOnly","NONE;-1","10","200","1"
"misc_device","200932","200003","1020DOK","IndicateOnly","NONE;-1","10","200","1"
"misc_device","200698","200004","1009DOK","IndicateOnly","NONE;-1","8","200","1"
"misc_device","200699","200004","1009POK","IndicateOnly","NONE;-1","8","200","1"
"misc_device","200700","200004","1011POK","IndicateOnly","NONE;-1","8","200","1"
"misc_device","200701","200004","1011DOK","IndicateOnly","NONE;-1","8","200","1"
"misc_device","200702","200004","1012POK","IndicateOnly","NONE;-1","8","200","1"
"misc_device","200703","200004","1012DOK","IndicateOnly","NONE;-1","8","200","1"
"misc_device","200924","200005","1015POK","IndicateOnly","NONE;-1","9","200","1"
"misc_device","200925","200005","1015DOK","IndicateOnly","NONE;-1","9","200","1"
"misc_device","200738","200007","1051POK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200739","200007","1051DOK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200740","200007","1054POK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200741","200007","1054DOK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200742","200007","1055POK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200743","200007","1055DOK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200744","200007","1056POK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200745","200007","1056DOK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200746","200007","1064POK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200747","200007","1064DOK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200748","200007","1069POK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200749","200007","1069DOK","IndicateOnly","NONE;-1","13","200","1"
"misc_device","200715","200008","1032POK","IndicateOnly","NONE;-1","11","200","1"
"misc_device","200716","200008","1032DOK","IndicateOnly","NONE;-1","11","200","1"
"misc_device","200717","200008","1037DOK","IndicateOnly","NONE;-1","11","200","1"
"misc_device","200718","200008","1037POK","IndicateOnly","NONE;-1","11","200","1"
"misc_device","200753","200009","1072POK","IndicateOnly","NONE;-1","14","200","1"
"misc_device","200754","200009","1072DOK","IndicateOnly","NONE;-1","14","200","1"
"misc_device","200757","200010","1082POK","IndicateOnly","NONE;-1","15","200","1"
"misc_device","200758","200010","1082DOK","IndicateOnly","NONE;-1","15","200","1"
"misc_device","200759","200010","1085POK","IndicateOnly","NONE;-1","15","200","1"
"misc_device","200760","200010","1085DOK","IndicateOnly","NONE;-1","15","200","1"
"misc_device","200761","200010","1088POK","IndicateOnly","NONE;-1","15","200","1"
"misc_device","200762","200010","1088DOK","IndicateOnly","NONE;-1","15","200","1"
"misc_device","200763","200011","1092MOK","IndicateOnly","NONE;-1","16","200","1"
"misc_device","200764","200011","1092DOK","IndicateOnly","NONE;-1","16","200","1"
"misc_device","200765","200011","1092POK","IndicateOnly","NONE;-1","16","200","1"
"misc_device","200766","200011","1092LOK","IndicateOnly","NONE;-1","16","200","1"
"misc_device","200767","200011","1093POK","IndicateOnly","NONE;-1","16","200","1"
"misc_device","200768","200011","1093DOK","IndicateOnly","NONE;-1","16","200","1"
"misc_device","200770","200012","1096DOK","IndicateOnly","NONE;-1","17","200","1"
"misc_device","200771","200012","1096POK","IndicateOnly","NONE;-1","17","200","1"
"misc_device","200772","200012","1102POK","IndicateOnly","NONE;-1","17","200","1"
"misc_device","200773","200012","1102DOK","IndicateOnly","NONE;-1","17","200","1"
"misc_device","200775","200013","1108DOK","IndicateOnly","NONE;-1","18","200","1"
"misc_device","200776","200013","1108POK","IndicateOnly","NONE;-1","18","200","1"
"misc_device","200777","200013","1112POK","IndicateOnly","NONE;-1","18","200","1"
"misc_device","200778","200013","1112DOK","IndicateOnly","NONE;-1","18","200","1"
"misc_device","200779","200014","1119DOK","IndicateOnly","NONE;-1","19","200","1"
"misc_device","200780","200014","1119POK","IndicateOnly","NONE;-1","19","200","1"
"misc_device","200781","200014","1128POK","IndicateOnly","NONE;-1","19","200","1"
"misc_device","200782","200014","1128DOK","IndicateOnly","NONE;-1","19","200","1"
"misc_device","200789","200015","1153DOK","IndicateOnly","NONE;-1","21","200","1"
"misc_device","200790","200015","1153POK","IndicateOnly","NONE;-1","21","200","1"
"misc_device","200791","200015","1157POK","IndicateOnly","NONE;-1","21","200","1"
"misc_device","200792","200015","1157DOK","IndicateOnly","NONE;-1","21","200","1"
"misc_device","200783","200016","1148POK","IndicateOnly","NONE;-1","20","200","1"
"misc_device","200784","200016","1137DOK","IndicateOnly","NONE;-1","20","200","1"
"misc_device","200785","200016","1137POK","IndicateOnly","NONE;-1","20","200","1"
"misc_device","200786","200016","1148DOK","IndicateOnly","NONE;-1","20","200","1"
"misc_device","200787","200016","1149POK","IndicateOnly","NONE;-1","20","200","1"
"misc_device","200794","200017","1166DOK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200795","200017","1166POK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200796","200017","1164DOK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200797","200017","1164POK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200798","200017","1161DOK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200799","200017","B1167POK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200800","200017","B1167DOK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200801","200017","B1174POK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200802","200017","B1174DOK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200803","200017","1161POK","IndicateOnly","NONE;-1","22","200","1"
"misc_device","200806","200019","B1177POK","IndicateOnly","NONE;-1","24","200","1"
"misc_device","200807","200019","B1176DOK","IndicateOnly","NONE;-1","24","200","1"
"misc_device","200808","200019","B1176POK","IndicateOnly","NONE;-1","24","200","1"
"misc_device","200809","200019","B1177DOK","IndicateOnly","NONE;-1","24","200","1"
"misc_device","200810","200019","1188POK","IndicateOnly","NONE;-1","24","200","1"
"misc_device","200811","200019","1188DOK","IndicateOnly","NONE;-1","24","200","1"
"misc_device","200804","200020","1173DOK","IndicateOnly","NONE;-1","23","200","1"
"misc_device","200805","200020","1173POK","IndicateOnly","NONE;-1","23","200","1"
"misc_device","200812","200025","1193DOK","IndicateOnly","NONE;-1","25","200","1"
"misc_device","200813","200025","1193POK","IndicateOnly","NONE;-1","25","200","1"
"misc_device","200814","200025","1193MOK","IndicateOnly","NONE;-1","25","200","1"
"misc_device","200815","200025","1193LOK","IndicateOnly","NONE;-1","25","200","1"
"misc_device","200816","200026","1199POK","IndicateOnly","NONE;-1","26","200","1"
"misc_device","200817","200026","1196DOK","IndicateOnly","NONE;-1","26","200","1"
"misc_device","200818","200026","1196POK","IndicateOnly","NONE;-1","26","200","1"
"misc_device","200819","200026","1199DOK","IndicateOnly","NONE;-1","26","200","1"
"misc_device","200820","200026","1202POK","IndicateOnly","NONE;-1","26","200","1"
"misc_device","200108","200027","UNLOCK ","ControlOnly","LOCK;-1","27","200","1"
"misc_device","200175","200027","REVERSE","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200176","200027","NORMAL","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200517","200027","UNLOCK","ControlOnly","LOCK;-1","27","200","1"
"misc_device","200822","200027","1208POK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200824","200027","1207POK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200825","200027","1206DOK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200826","200027","1206POK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200827","200027","1208DOK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200828","200027","1212POK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200829","200027","1212DOK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200830","200027","12125POK","IndicateOnly","NONE;-1","27","200","1"
"misc_device","200831","200027","12125DOK","IndicateOnly","NONE;-1","27","200","1"
"signal","100727","100000","E-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100729","100000","W-SIGNAL","WC_D","WB MT1","5","100","2"
"signal","100974","100000","W-SIGNAL","WA_B","WB MT2","5","100","2"
"signal","100121","100001","E-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100122","100001","W-SIGNAL","WA","WB MT2","5","100","2"
"signal","100123","100001","W-SIGNAL","WB","WB MT1","5","100","2"
"signal","100148","100002","2E-SIGNAL","2EA_B","EB MT1","5","100","2"
"signal","100151","100002","2W-SIGNAL","2WA_B","WB MT","5","100","2"
"signal","100167","100002","4E-SIGNAL","4EA_B","EB MT2","5","100","2"
"signal","100170","100002","4W-SIGNAL","4WA_B","WB Spur","5","100","2"
"signal","100142","100003","65-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100143","100003","66-SIGNAL","WB","WB MT2","5","100","2"
"signal","100144","100003","66-SIGNAL","WA","WA MT1","5","100","2"
"signal","100300","100004","4W-SIGNAL","4W","WB MT2","5","100","2"
"signal","100301","100004","2W-SIGNAL","2W","WB MT1","5","100","2"
"signal","100389","100004","2E-SIGNAL","2E","EB MT1","5","100","2"
"signal","100433","100004","4E-SIGNAL","4E","EB MT2","5","100","2"
